X,Y,OBJECTID_1,OBJECTID,TYPE,ELEV
-71.04639152837521,42.350750842208321,1044,10366,PARKING-METER,0
-71.046463857766554,42.350653064908563,1045,10367,PARKING-METER,0
-71.04653765726745,42.350560297187108,1046,10368,PARKING-METER,0
-71.046610950197802,42.350465190259634,1047,10369,PARKING-METER,0
-71.046683278923538,42.350367412815665,1048,10370,PARKING-METER,0
-71.04675750496169,42.350273633801891,1049,10371,PARKING-METER,0
-71.046829481573425,42.350180218595504,1050,10372,PARKING-METER,0
-71.046901073430519,42.350089825010571,1051,10373,PARKING-METER,0
-71.045792042601505,42.349357037888055,1052,10399,PARKING-METER,0
-71.045926456859235,42.349371091152584,1053,10413,PARKING-METER,0
-71.045664114316168,42.349350270957601,1054,10414,PARKING-METER,0
-71.047598486221219,42.351156246161636,1055,10433,PARKING-METER,0
-71.047766937474663,42.350940458589605,1056,10434,PARKING-METER,0
-71.047315167276324,42.351522175995072,1057,10435,PARKING-METER,0
-71.04484933471187,42.349734116300219,1058,10436,PARKING-METER,0
-71.044648851940281,42.349990825308467,1059,10437,PARKING-METER,0
-71.044539656775413,42.350132520318169,1060,10438,PARKING-METER,0
-71.044641891187766,42.350240082589465,1061,10439,PARKING-METER,0
-71.044721276657896,42.350137610470469,1062,10440,PARKING-METER,0
-71.042999438227369,42.348995725688852,1063,10442,PARKING-METER,0
-71.042926549459338,42.348967166769015,1064,10443,PARKING-METER,0
-71.046071595692794,42.351161223298163,1065,10453,PARKING-METER,0
-71.044584867053146,42.34940219073308,1066,10455,PARKING-METER,0
-71.044446380120036,42.349427370748025,1067,10456,PARKING-METER,0
-71.044301618941418,42.349454638720125,1068,10457,PARKING-METER,0
-71.044155359507243,42.349475562506598,1069,10458,PARKING-METER,0
-71.043953743246348,42.349484452927484,1070,10459,PARKING-METER,0
-71.044770747299893,42.349832549357274,1071,10494,PARKING-METER,0
-71.048448381091021,42.350853455665096,1072,10512,PARKING-METER,0
-71.048475452631251,42.350871768586487,1073,10513,PARKING-METER,0
-71.047285086805672,42.351355627676,1074,10516,PARKING-METER,0
-71.04766632466783,42.350859831472846,1075,10517,PARKING-METER,0
-71.047600355661501,42.350943691707869,1076,10518,PARKING-METER,0
-71.047508769729433,42.351062283429613,1077,10519,PARKING-METER,0
-71.041968644563141,42.348573327291696,1078,10523,PARKING-METER,0
-71.042109229944501,42.348631213392324,1079,10524,PARKING-METER,0
-71.045053557512134,42.351716443065584,1080,10548,PARKING-METER,0
-71.044932408359941,42.35166004111607,1081,10549,PARKING-METER,0
-71.044813089966112,42.35160495981139,1082,10550,PARKING-METER,0
-71.044694676081335,42.351549870258957,1083,10551,PARKING-METER,0
-71.044568999937383,42.351492842299926,1084,10552,PARKING-METER,0
-71.044448755951578,42.351436430815532,1085,10553,PARKING-METER,0
-71.0443253440679,42.351379714955719,1086,10554,PARKING-METER,0
-71.044199633302597,42.351320677897704,1087,10555,PARKING-METER,0
-71.045172876325623,42.351771524119393,1088,10556,PARKING-METER,0
-71.042626520773936,42.349114207977244,1089,10557,PARKING-METER,0
-71.042756319284479,42.349167567806006,1090,10558,PARKING-METER,0
-71.042886118013953,42.34922092748765,1091,10559,PARKING-METER,0
-71.0444634865231,42.350227526315926,1092,10565,PARKING-METER,0
-71.044388827422978,42.350323165753871,1093,10566,PARKING-METER,0
-71.044313290561419,42.350420154804191,1094,10567,PARKING-METER,0
-71.044494282907621,42.350429746090278,1095,10568,PARKING-METER,0
-71.044568495307047,42.3503344460281,1096,10569,PARKING-METER,0
-71.045926405825583,42.351351267256874,1097,10575,PARKING-METER,0
-71.045823732637345,42.351472336479738,1098,10576,PARKING-METER,0
-71.046803125429207,42.351982258617404,1099,10577,PARKING-METER,0
-71.04674260167117,42.352059650499939,1100,10578,PARKING-METER,0
-71.046846873743078,42.352125668468837,1101,10579,PARKING-METER,0
-71.046887899897612,42.352069930968923,1102,10580,PARKING-METER,0
-71.046939095802998,42.352001686144753,1103,10581,PARKING-METER,0
-71.047152182403693,42.352383144846584,1104,10584,PARKING-METER,0
-71.047275303533041,42.352441595862615,1105,10585,PARKING-METER,0
-71.047020406454351,42.352321091745551,1106,10586,PARKING-METER,0
-71.046403601897126,42.352037227148941,1107,10588,PARKING-METER,0
-71.0462836773101,42.351980420030841,1108,10589,PARKING-METER,0
-71.046042068895673,42.351869503849208,1109,10590,PARKING-METER,0
-71.046165212361785,42.351929297592562,1110,10591,PARKING-METER,0
-71.045928568936873,42.35181799653305,1111,10592,PARKING-METER,0
-71.042176583732228,42.348930123327897,1112,10605,PARKING-METER,0
-71.044433056974995,42.351125320147439,1113,10610,PARKING-METER,0
-71.044552063020461,42.351181468367393,1114,10611,PARKING-METER,0
-71.044667850070113,42.351234630949513,1115,10612,PARKING-METER,0
-71.044789580400916,42.351291421713491,1116,10613,PARKING-METER,0
-71.044910370129784,42.351346210874816,1117,10614,PARKING-METER,0
-71.045034379306898,42.35140398451199,1118,10615,PARKING-METER,0
-71.045156122462757,42.351461445652077,1119,10616,PARKING-METER,0
-71.04528466336447,42.351519845538775,1120,10617,PARKING-METER,0
-71.045709637494582,42.352019227724,1121,10618,PARKING-METER,0
-71.045832285549096,42.35207667910408,1122,10619,PARKING-METER,0
-71.045949847402198,42.352127810921871,1123,10620,PARKING-METER,0
-71.046067976729077,42.352185307225817,1124,10621,PARKING-METER,0
-71.046178331231133,42.35223785172478,1125,10622,PARKING-METER,0
-71.042467012556074,42.350174237725206,1126,10630,PARKING-METER,0
-71.042340369344146,42.350120510223334,1127,10631,PARKING-METER,0
-71.042205133789594,42.350066534103441,1128,10632,PARKING-METER,0
-71.042094438022772,42.350019689537405,1129,10633,PARKING-METER,0
-71.046377362890624,42.353114034591485,1130,10639,PARKING-METER,0
-71.046252432630411,42.353055599794068,1131,10640,PARKING-METER,0
-71.042401929401464,42.350409134417852,1132,10653,PARKING-METER,0
-71.042273923871903,42.350355085423089,1133,10654,PARKING-METER,0
-71.040391422767925,42.349321318704611,1134,10655,PARKING-METER,0
-71.040520327668133,42.34937535991142,1135,10656,PARKING-METER,0
-71.04132513832198,42.349709690110373,1136,10657,PARKING-METER,0
-71.041193543478045,42.349657016531225,1137,10658,PARKING-METER,0
-71.041451766511713,42.349762747063195,1138,10659,PARKING-METER,0
-71.044315543712898,42.351882818240902,1139,10661,PARKING-METER,0
-71.044393193203405,42.351976599707953,1140,10662,PARKING-METER,0
-71.044472700219856,42.352073044341417,1141,10663,PARKING-METER,0
-71.044542599608675,42.352163214536994,1142,10664,PARKING-METER,0
-71.044617115695132,42.352258702992685,1143,10665,PARKING-METER,0
-71.044734998010753,42.352352416661041,1144,10666,PARKING-METER,0
-71.045106548449397,42.352524067544365,1145,10667,PARKING-METER,0
-71.045232355368071,42.352581153028808,1146,10668,PARKING-METER,0
-71.044978451131456,42.352465328923614,1147,10669,PARKING-METER,0
-71.045352763346287,42.352639634089073,1148,10670,PARKING-METER,0
-71.045479040542517,42.352697719584022,1149,10671,PARKING-METER,0
-71.043885435686093,42.351772105596183,1150,10672,PARKING-METER,0
-71.043968013746138,42.351863490518774,1151,10673,PARKING-METER,0
-71.045689124411339,42.352989013812604,1152,10675,PARKING-METER,0
-71.045039337616458,42.352681329439683,1153,10684,PARKING-METER,0
-71.044810445205897,42.352573637230137,1154,10685,PARKING-METER,0
-71.044683252384132,42.352514889256717,1155,10686,PARKING-METER,0
-71.044462941896825,42.352406774778288,1156,10687,PARKING-METER,0
-71.044369454618689,42.352312146463305,1157,10688,PARKING-METER,0
-71.044290454959523,42.352218714353405,1158,10689,PARKING-METER,0
-71.044174192812946,42.352089776391779,1159,10690,PARKING-METER,0
-71.044090711059127,42.351998400645385,1160,10691,PARKING-METER,0
-71.046168455095412,42.353226144797517,1161,10697,PARKING-METER,0
-71.046295216966143,42.35328681423259,1162,10698,PARKING-METER,0
-71.040263754920645,42.349268437374221,1163,10909,PARKING-METER,0
-71.040135574833883,42.349215426010389,1164,10910,PARKING-METER,0
-71.040003339689903,42.349162788107556,1165,10911,PARKING-METER,0
-71.038751761918476,42.348672749414341,1166,10983,PARKING-METER,0
-71.038624932825115,42.348619388853841,1167,10984,PARKING-METER,0
-71.038491868707624,42.348566263312279,1168,10985,PARKING-METER,0
-71.037983650918122,42.34835733851741,1169,10986,PARKING-METER,0
-71.037852732786078,42.348302341938201,1170,10987,PARKING-METER,0
-71.037605456040183,42.347963573784831,1171,10988,PARKING-METER,0
-71.03767870602158,42.347867138946839,1172,10989,PARKING-METER,0
-71.037751533295904,42.347772382310154,1173,10990,PARKING-METER,0
-71.037821744589777,42.347997005174399,1174,10991,PARKING-METER,0
-71.037749831091816,42.348092422739391,1175,10992,PARKING-METER,0
-71.036833701240568,42.347870667006681,1176,11022,PARKING-METER,0
-71.036893229800143,42.347894539490191,1177,11023,PARKING-METER,0
-71.036954598331533,42.3479204035999,1178,11024,PARKING-METER,0
-71.03701686874318,42.347946258703779,1179,11025,PARKING-METER,0
-71.037077311363916,42.347970791985993,1180,11026,PARKING-METER,0
-71.037139125521179,42.347996316578872,1181,11027,PARKING-METER,0
-71.037200483373681,42.348021510694323,1182,11028,PARKING-METER,0
-71.037260024305894,42.348046052854464,1183,11029,PARKING-METER,0
-71.036771007260768,42.347846489144423,1184,11030,PARKING-METER,0
-71.037421633990874,42.348363205911816,1185,11035,PARKING-METER,0
-71.037353913288371,42.348335394371368,1186,11036,PARKING-METER,0
-71.037489800223952,42.348390678892919,1187,11037,PARKING-METER,0
-71.036636263744512,42.348067030522941,1188,11071,PARKING-METER,0
-71.036564888037987,42.348036574926319,1189,11072,PARKING-METER,0
-71.036778124411171,42.348128619515919,1190,11073,PARKING-METER,0
-71.037862411717839,42.347944122411022,1191,11085,PARKING-METER,0
-71.038102330353567,42.348405529979793,1192,11087,PARKING-METER,0
-71.034538441939901,42.34619787282692,1193,11091,PARKING-METER,0
-71.03744061789439,42.345261009189841,1194,11116,PARKING-METER,0
-71.040892748097207,42.348401851187127,1195,11157,PARKING-METER,0
-71.040773623018225,42.348353066639625,1196,11158,PARKING-METER,0
-71.040641757521414,42.348298336849162,1197,11159,PARKING-METER,0
-71.038395224108626,42.347562903054637,1198,11197,PARKING-METER,0
-71.038543572937371,42.347564514932984,1199,11198,PARKING-METER,0
-71.038691903640128,42.34756478510932,1200,11199,PARKING-METER,0
-71.038839777997325,42.347564722856248,1201,11200,PARKING-METER,0
-71.038674973055976,42.347721899493799,1202,11223,PARKING-METER,0
-71.038822405334969,42.347825831131487,1203,11225,PARKING-METER,0
-71.038750859803159,42.347921952124011,1204,11226,PARKING-METER,0
-71.039871129211562,42.348618636673187,1205,11227,PARKING-METER,0
-71.039944455693274,42.348520489264452,1206,11228,PARKING-METER,0
-71.039988457518703,42.348462138115188,1207,11229,PARKING-METER,0
-71.040060484777598,42.348368360860142,1208,11230,PARKING-METER,0
-71.038678409815418,42.348018079345429,1209,11231,PARKING-METER,0
-71.038337139745565,42.34771997911615,1210,11232,PARKING-METER,0
-71.040267135017984,42.347679626194839,1211,11244,PARKING-METER,0
-71.040363259827842,42.347596519033935,1212,11245,PARKING-METER,0
-71.036804518491763,42.345092755554603,1213,11248,PARKING-METER,0
-71.043238516192844,42.346983875807268,1214,11283,PARKING-METER,0
-71.043116499345302,42.346919528705826,1215,11284,PARKING-METER,0
-71.042996302170792,42.346856504934848,1216,11285,PARKING-METER,0
-71.042878799658354,42.346792794921683,1217,11286,PARKING-METER,0
-71.042759048379509,42.34672943416129,1218,11287,PARKING-METER,0
-71.042640207653321,42.346666735010928,1219,11288,PARKING-METER,0
-71.042475092321311,42.346578947686993,1220,11289,PARKING-METER,0
-71.042356235122682,42.346514912137117,1221,11290,PARKING-METER,0
-71.041038429153105,42.347014710085205,1222,11330,PARKING-METER,0
-71.040931691540848,42.347105494563138,1223,11331,PARKING-METER,0
-71.040827214795598,42.347196597670951,1224,11332,PARKING-METER,0
-71.04073194344619,42.347280339736962,1225,11333,PARKING-METER,0
-71.037394827246473,42.344791796755359,1226,11386,PARKING-METER,0
-71.042554647572771,42.346106698134108,1227,11402,PARKING-METER,0
-71.042648496767214,42.34601864999248,1228,11403,PARKING-METER,0
-71.042741075114535,42.345936298281572,1229,11404,PARKING-METER,0
-71.042882124881316,42.345807735352928,1230,11405,PARKING-METER,0
-71.042834488109065,42.345849256581467,1231,11406,PARKING-METER,0
-71.04325027181882,42.345453593919402,1232,11407,PARKING-METER,0
-71.043340630005432,42.345373600676005,1233,11408,PARKING-METER,0
-71.04343681362829,42.345291218604842,1234,11409,PARKING-METER,0
-71.043518291118517,42.345220661951359,1235,11410,PARKING-METER,0
-71.043597053366213,42.345149457053772,1236,11411,PARKING-METER,0
-71.043694089380409,42.345063724553995,1237,11412,PARKING-METER,0
-71.043337534133187,42.345079481204955,1238,11442,PARKING-METER,0
-71.043396562052678,42.345025546730767,1239,11443,PARKING-METER,0
-71.043461513169873,42.344968302855804,1240,11444,PARKING-METER,0
-71.043076956711971,42.345304013779298,1241,11459,PARKING-METER,0
-71.043170318892578,42.345224993218459,1242,11460,PARKING-METER,0
-71.045009306631584,42.343934586616321,1243,11533,PARKING-METER,0
-71.044819046993823,42.344098833195737,1244,11534,PARKING-METER,0
-71.044720320149708,42.34418232362512,1245,11535,PARKING-METER,0
-71.044526454437104,42.344347265770566,1246,11536,PARKING-METER,0
-71.044426412540972,42.344433781127016,1247,11537,PARKING-METER,0
-71.044284811799471,42.344554443698932,1248,11538,PARKING-METER,0
-71.044079870009583,42.344728079442334,1249,11539,PARKING-METER,0
-71.044393980567634,42.344181214622402,1250,11540,PARKING-METER,0
-71.044661990991372,42.343952732781972,1251,11541,PARKING-METER,0
-71.043786880059329,42.344982174999465,1252,11546,PARKING-METER,0
-71.043875304195851,42.344905128424479,1253,11547,PARKING-METER,0
-71.043969094883678,42.344824021132212,1254,11548,PARKING-METER,0
-71.044135318744949,42.344680780869197,1255,11550,PARKING-METER,0
-71.044371152130225,42.344479424946599,1256,11551,PARKING-METER,0
-71.044622253809251,42.344264892883317,1257,11552,PARKING-METER,0
-71.044914891374219,42.344014484095432,1258,11553,PARKING-METER,0
-71.043527021060186,42.344916296364744,1259,11559,PARKING-METER,0
-71.043623069110467,42.344835081276599,1260,11560,PARKING-METER,0
-71.052605873930133,42.351726426313355,1261,11579,PARKING-METER,0
-71.052539347810551,42.351825503015888,1262,11580,PARKING-METER,0
-71.052473590362553,42.351923125997253,1263,11581,PARKING-METER,0
-71.052408181713645,42.352020999678295,1264,11582,PARKING-METER,0
-71.052341243135587,42.352119614607446,1265,11583,PARKING-METER,0
-71.048140447601781,42.352842016750124,1266,11589,PARKING-METER,0
-71.047294208102144,42.352754701959469,1267,11590,PARKING-METER,0
-71.04432706219842,42.347562608229659,1268,11603,PARKING-METER,0
-71.044446744954826,42.347625976064457,1269,11604,PARKING-METER,0
-71.044567722973511,42.347690856894843,1270,11605,PARKING-METER,0
-71.044683894475043,42.347753292272401,1271,11606,PARKING-METER,0
-71.04480496103433,42.347817067639575,1272,11607,PARKING-METER,0
-71.044923904631446,42.34788057249007,1273,11608,PARKING-METER,0
-71.045045368897547,42.347944130403143,1274,11609,PARKING-METER,0
-71.046824523879692,42.348521589105772,1275,11618,PARKING-METER,0
-71.048349269497734,42.349219087996211,1276,11621,PARKING-METER,0
-71.048300199270713,42.349196842570009,1277,11622,PARKING-METER,0
-71.050081282517326,42.35026695496515,1278,11623,PARKING-METER,0
-71.049146713238457,42.350692856579201,1279,11642,PARKING-METER,0
